"setting_id","truth_type","reader_miss","z_miss","replicate","method","auc","brier","x_cor","x_rmse","cx_mae"
"S4","misspecified",0.3,0.2,4,"Reader-1 logistic",0.647341490545051,0.233285284390665,NA,NA,NA
"S4","misspecified",0.3,0.2,5,"Bayesian joint model",0.970894990194329,0.137167618055967,0.588727882824001,0.819613937004619,0.159601606276522
"S4","misspecified",0.3,0.2,5,"Averaged-reader logistic",0.649670172936352,0.230677084805585,NA,NA,NA
"S4","misspecified",0.3,0.2,5,"Reader-1 logistic",0.658940987698342,0.230380680009226,NA,NA,NA
"S4","misspecified",0.3,0.2,6,"Bayesian joint model",0.939681267806267,0.165611955051241,0.532515686393784,0.848902274590029,0.100027885199887
"S4","misspecified",0.3,0.2,6,"Averaged-reader logistic",0.633413461538461,0.236008553364532,NA,NA,NA
"S4","misspecified",0.3,0.2,6,"Reader-1 logistic",0.637264066951567,0.236664725862002,NA,NA,NA
"S4","misspecified",0.3,0.2,7,"Bayesian joint model",0.90436174469788,0.172252739751116,0.593043007133324,0.832030655490137,0.224907735006541
"S4","misspecified",0.3,0.2,7,"Averaged-reader logistic",0.656662665066026,0.232202922545078,NA,NA,NA
"S4","misspecified",0.3,0.2,7,"Reader-1 logistic",0.647147747988084,0.235631318965854,NA,NA,NA
"S4","misspecified",0.3,0.2,8,"Bayesian joint model",0.980347694633408,0.135649840977458,0.585109849065886,0.822614515766821,0.062831259898929
"S4","misspecified",0.3,0.2,8,"Averaged-reader logistic",0.649415321684229,0.23340269441545,NA,NA,NA
"S4","misspecified",0.3,0.2,8,"Reader-1 logistic",0.63578764839269,0.235897720772879,NA,NA,NA
"S4","misspecified",0.3,0.2,9,"Bayesian joint model",0.900664614835631,0.177603783327095,0.50204220757293,0.872922080781744,0.121442533261977
"S4","misspecified",0.3,0.2,9,"Averaged-reader logistic",0.624202685222356,0.237610451687632,NA,NA,NA
"S4","misspecified",0.3,0.2,9,"Reader-1 logistic",0.618738569962978,0.238007611927447,NA,NA,NA
"S4","misspecified",0.3,0.2,10,"Bayesian joint model",0.80633629742169,0.21327836397649,0.620360788212104,0.783119150290532,0.15349874972976
"S4","misspecified",0.3,0.2,10,"Averaged-reader logistic",0.587336342106439,0.242310035532444,NA,NA,NA
"S4","misspecified",0.3,0.2,10,"Reader-1 logistic",0.593190044237901,0.241496068747429,NA,NA,NA
"S4","misspecified",0.3,0.2,11,"Bayesian joint model",0.981381675649191,0.107187321773471,0.568796026859392,0.833983141114306,0.122594754586775
"S4","misspecified",0.3,0.2,11,"Averaged-reader logistic",0.715068371119327,0.214531609523472,NA,NA,NA
"S4","misspecified",0.3,0.2,11,"Reader-1 logistic",0.692352233753507,0.221281248235805,NA,NA,NA
"S4","misspecified",0.3,0.2,12,"Bayesian joint model",0.851123470522802,0.188600916641545,0.564484959074774,0.852746992385438,0.0731676493993765
"S4","misspecified",0.3,0.2,12,"Averaged-reader logistic",0.655350389321469,0.233689712417806,NA,NA,NA
"S4","misspecified",0.3,0.2,12,"Reader-1 logistic",0.64638487208009,0.235761182656872,NA,NA,NA
"S4","misspecified",0.3,0.2,13,"Bayesian joint model",0.948054274327168,0.150226481389613,0.550494882304881,0.811420719122316,0.205053809922721
"S4","misspecified",0.3,0.2,13,"Averaged-reader logistic",0.648425954950517,0.231204988177863,NA,NA,NA
"S4","misspecified",0.3,0.2,13,"Reader-1 logistic",0.64833639335453,0.230950819948635,NA,NA,NA
"S4","misspecified",0.3,0.2,14,"Bayesian joint model",0.98959815078236,0.106479051860527,0.499277254428971,0.859336178074857,0.101920536027302
"S4","misspecified",0.3,0.2,14,"Averaged-reader logistic",0.682165718349929,0.225847500420586,NA,NA,NA
"S4","misspecified",0.3,0.2,14,"Reader-1 logistic",0.664429231863442,0.22972489748342,NA,NA,NA
"S4","misspecified",0.3,0.2,15,"Bayesian joint model",0.960959757834758,0.123602389914526,0.549702736136279,0.873193228672961,0.261887833243178
"S4","misspecified",0.3,0.2,15,"Averaged-reader logistic",0.708867521367522,0.216807256362791,NA,NA,NA
"S4","misspecified",0.3,0.2,15,"Reader-1 logistic",0.688657407407408,0.221004256347573,NA,NA,NA
"S4","misspecified",0.3,0.2,16,"Bayesian joint model",0.976624423447226,0.140914395477246,0.587393717080831,0.811412735924447,0.137757563638706
"S4","misspecified",0.3,0.2,16,"Averaged-reader logistic",0.651471049214097,0.233418759251658,NA,NA,NA
"S4","misspecified",0.3,0.2,16,"Reader-1 logistic",0.649814159688326,0.232916123736007,NA,NA,NA
"S4","misspecified",0.3,0.2,17,"Bayesian joint model",0.970865543589972,0.135490167957645,0.553734581261706,0.833148818128304,0.250608862097526
"S4","misspecified",0.3,0.2,17,"Averaged-reader logistic",0.670092497430627,0.228210245414647,NA,NA,NA
"S4","misspecified",0.3,0.2,17,"Reader-1 logistic",0.66437284954645,0.228889559238418,NA,NA,NA
"S4","misspecified",0.3,0.2,18,"Bayesian joint model",0.868010461760462,0.177263200736676,0.513643563276584,0.848055881897867,0.265294065253582
"S4","misspecified",0.3,0.2,18,"Averaged-reader logistic",0.657647907647908,0.227256194222854,NA,NA,NA
"S4","misspecified",0.3,0.2,18,"Reader-1 logistic",0.64484126984127,0.229730500586574,NA,NA,NA
"S4","misspecified",0.3,0.2,19,"Bayesian joint model",0.94802013273351,0.145020623240413,0.551397341241775,0.862044529694644,0.0760304972876135
"S4","misspecified",0.3,0.2,19,"Averaged-reader logistic",0.674446572535745,0.22863753532346,NA,NA,NA
